time,acceleration_x,acceleration_y,acceleration_z
27371,1.058,1.152,1.742
27401,1.058,1.158,2.435
27429,1.055,1.152,0.581
27458,1.055,1.148,0.435
27488,1.058,1.148,2.2
27516,1.055,1.155,2.426
27546,1.055,1.148,0.487
27575,1.058,1.152,0.435
27604,1.055,1.148,2.368
27633,1.058,1.148,2.426
27663,1.058,1.148,0.458
27692,1.058,1.152,0.426
27720,1.061,1.152,2.377
27750,1.061,1.152,2.442
27779,1.055,1.148,0.458
27808,1.052,1.148,0.413
27837,1.058,1.152,2.39
27867,1.061,1.152,2.361
27895,1.055,1.148,0.455
27924,1.052,1.148,0.41
27954,1.058,1.152,2.397
27982,1.055,1.155,2.439
28012,1.055,1.148,0.455
28041,1.052,1.158,0.406
28070,1.058,1.152,2.39
28099,1.058,1.152,1.774
28129,1.048,1.152,0.458
28157,1.058,1.155,0.555
28186,1.058,1.152,2.394
28216,1.058,1.152,1.506
28244,1.052,1.152,0.452
28274,1.058,1.152,0.594
28303,1.055,1.155,2.419
28333,1.055,1.155,1.355
28361,1.055,1.152,0.435
28390,1.052,1.148,0.645
28420,1.055,1.155,2.423
28448,1.055,1.155,1.045
28478,1.052,1.155,0.455
28507,1.061,1.152,1.239
28536,1.061,1.152,2.39
28565,1.055,1.148,1.087
28595,1.052,1.145,0.455
28623,1.055,1.148,1.632
28652,1.058,1.152,2.416
28682,1.052,1.155,1.132
28710,1.052,1.148,0.445
28740,1.055,1.152,1.69
28769,1.055,1.158,2.419
28798,1.058,1.152,0.813
28827,1.055,1.148,0.442
28856,1.061,1.155,1.71
28886,1.055,1.158,2.429
28914,1.058,1.152,0.603
28944,1.052,1.155,0.423
28973,1.058,1.155,2.206
29002,1.058,1.158,2.423
29031,1.055,1.155,0.49
29061,1.052,1.148,0.435
29089,1.061,1.152,2.358
29118,1.058,1.152,2.423
29148,1.055,1.152,0.461
29176,1.052,1.148,0.429
29206,1.058,1.152,2.377
29235,1.058,1.152,2.419
29264,1.055,1.152,0.458
29293,1.052,1.152,0.426
29322,1.055,1.152,2.377
29351,1.058,1.152,2.416
29380,1.055,1.152,0.452
29410,1.055,1.145,0.406
29438,1.058,1.148,2.394
29468,1.052,1.152,2.1
29497,1.052,1.152,0.461
29527,1.055,1.152,0.4
29555,1.058,1.148,2.397
29584,1.058,1.148,1.9
29614,1.055,1.148,0.458
29642,1.052,1.148,0.542
29672,1.061,1.152,2.394
29701,1.055,1.152,1.655
29730,1.052,1.152,0.455
29759,1.058,1.148,0.429
29788,1.058,1.155,2.403
29817,1.058,1.155,1.926
29846,1.055,1.148,0.442
29876,1.061,1.155,1.003
29904,1.058,1.152,2.423
29934,1.058,1.152,1.155
29963,1.052,1.145,0.445
29992,1.058,1.148,1.313
30021,1.061,1.152,2.4
30050,1.052,1.155,1.387
30080,1.052,1.148,0.445
30108,1.058,1.152,1.106
30138,1.058,1.155,2.416
30167,1.055,1.152,1.187
30196,1.055,1.152,0.442
30225,1.058,1.148,1.723
30254,1.058,1.152,2.426
30283,1.055,1.148,0.761
30312,1.052,1.152,0.439
30342,1.055,1.152,1.703
30370,1.061,1.155,2.413
30400,1.055,1.152,0.629
30429,1.058,1.148,0.419
30458,1.055,1.155,2.132
30487,1.058,1.155,2.442
30516,1.052,1.152,0.51
30545,1.055,1.148,0.432
30574,1.055,1.155,2.332
30604,1.061,1.155,2.429
30632,1.055,1.145,0.465
30662,1.055,1.148,0.435
30691,1.058,1.148,2.381
30720,1.061,1.155,2.442
30749,1.048,1.152,0.458
30778,1.052,1.152,0.432
30808,1.058,1.155,2.381
30836,1.055,1.155,2.355
30866,1.055,1.152,0.468
30895,1.052,1.152,0.413
30924,1.058,1.152,2.4
30953,1.058,1.152,2.129
30982,1.058,1.152,0.452
31011,1.058,1.148,0.4
31040,1.058,1.155,2.397
31070,1.058,1.155,2.439
31098,1.052,1.145,0.455
31128,1.052,1.152,0.406
31157,1.058,1.152,2.39
31185,1.055,1.148,1.871
31215,1.052,1.145,0.452
31244,1.055,1.152,0.41
31273,1.058,1.155,2.394
31302,1.061,1.152,2.068
31332,1.055,1.142,0.448
31361,1.055,1.148,0.939
31390,1.061,1.155,2.435
31419,1.058,1.152,1.239
31448,1.052,1.148,0.442
31477,1.055,1.148,0.826
31506,1.061,1.152,2.41
31536,1.055,1.155,1.042
31564,1.055,1.152,0.455
31594,1.061,1.152,1.139
31623,1.058,1.152,2.4
31651,1.055,1.152,0.897
31681,1.055,1.152,0.429
31710,1.058,1.155,1.503
31739,1.058,1.152,2.41
31768,1.058,1.148,0.784
31798,1.052,1.152,0.445
31826,1.058,1.152,1.797
31856,1.055,1.155,2.423
31885,1.055,1.148,0.697
31913,1.055,1.152,0.429
31943,1.058,1.148,1.855
31972,1.061,1.152,2.432
32002,1.055,1.148,0.639
